Title,Quantity,Actual Price in Rs,Discounted Price in Rs,Stock,Category,Store
LIPTON TEA JAR 475GM MEGA DAANE,475 GM,995,,In stock,Grocery Products > Tea & Coffee,Bin Hashim
NESCAFE COFFEE 3IN1 30 STRIP,3 IN,"1,455",,In stock,Grocery Products > Tea & Coffee,Bin Hashim
NESTLE EVERYDAY TEA SACHETS KASHMIRI CHAI 25PCS,25 PCS,"1,675",,In stock,Grocery Products > Tea & Coffee,Bin Hashim
TAPAL GREEN TEA SHADES 4 IN 1 32PCS BAGS 48GM,4 IN,195,,In stock,Grocery Products > Tea & Coffee,Bin Hashim
VITAL TEA 85GM BOX,85 GM,160,,In stock,Grocery Products > Tea & Coffee,Bin Hashim
VITAL TEA 170GM BOX,170 GM,311,,In stock,Grocery Products > Tea & Coffee,Bin Hashim
VITAL TEA 430GM POUCH,430 GM,680,,In stock,Grocery Products > Tea & Coffee,Bin Hashim
VITAL TEA 900GM POUCH,900 GM,"1,399",,In stock,Grocery Products > Tea & Coffee,Bin Hashim
VITAL TEA 50PCS BAGS,50 PCS,350,,In stock,Grocery Products > Tea & Coffee,Bin Hashim
VITAL TEA 100PCS BAG,100 PCS,709,,In stock,Grocery Products > Tea & Coffee,Bin Hashim
TAPAL TEZDUM TEA 80GM BOX,80 GM,168,,In stock,Grocery Products > Tea & Coffee,Bin Hashim
TAPAL DANEDAR TEA ENVELOPED 50PCS BAGS 100GM,50 PCS,430,,In stock,Grocery Products > Tea & Coffee,Bin Hashim
TAPAL DANEDAR TEA ENVELOPED 100PCS BAGS 200GM,100 PCS,755,,In stock,Grocery Products > Tea & Coffee,Bin Hashim
PRIVATE CLUB COFFEE 50GM MIX,50 GM,517,,In stock,Grocery Products > Tea & Coffee,Bin Hashim
TAPAL GREEN TEA STRAWBERRY BLIS 30PCS BAGS 45GM,30 PCS,185,,In stock,Grocery Products > Tea & Coffee,Bin Hashim
VITAL TEA 350GM POUCH,350 GM,565,,In stock,Grocery Products > Tea & Coffee,Bin Hashim
TAPAL TEZDUM TEA 170GM,170 GM,321,,In stock,Grocery Products > Tea & Coffee,Bin Hashim
TAPAL DANEDAR TEA 25PCS BAGS 50GM,25 PCS,171,,In stock,Grocery Products > Tea & Coffee,Bin Hashim
MEZAN TEA ULTRA RICH 85GM BOX,85 GM,155,,In stock,Grocery Products > Tea & Coffee,Bin Hashim
MEZAN TEA HARDUM STRONG 400GM POUCH,400 GM,581,,In stock,Grocery Products > Tea & Coffee,Bin Hashim
MEZAN TEA HARDUM MIXTURE 160GM BOX,160 GM,290,,In stock,Grocery Products > Tea & Coffee,Bin Hashim
MEZAN TEA HARDUM STRONG 80GM BOX,80 GM,155,,In stock,Grocery Products > Tea & Coffee,Bin Hashim
DAWN TEA 950GM MIXTURE,950 GM,"1,281",,In stock,Grocery Products > Tea & Coffee,Bin Hashim
DAWN TEA 475GM MIXTURE,475 GM,641,,In stock,Grocery Products > Tea & Coffee,Bin Hashim
POLAC SWEETENED CONDENSED MILK 390GM,390 GM,266,,In stock,Grocery Products > Butter & Cheese,Bin Hashim
POLAC SWEETENED CONDENSED MILK 1 KG,1 KG,717,,In stock,Grocery Products > Butter & Cheese,Bin Hashim
KING OF KINGS EVAPORATED MILK 395GM TIN,395 GM,474,,In stock,Grocery Products > Butter & Cheese,Bin Hashim
COMELLE CONDENSED MILK 72GM TIN,72 GM,59,,In stock,Grocery Products > Butter & Cheese,Bin Hashim
