Title,Quantity,Actual Price in Rs,Discounted Price in Rs,Stock,Category,Store
Nurpur Original Full Cream Milk 250 ml (Pack of 24),250 ml,"1,440","1,440",In stock,Fresh Food,Carrefour
Nurpur UHT Milk 1 lt (Pack of 12),1 lt,"3,000.00","2,767",In stock,Fresh Food,Carrefour
Nestle Milk Pack 12 x 1litre,12 x,"3,120.00","2,767",In stock,Fresh Food,Carrefour
Nestle Milo Ready To Drink Milk 180 ml (Pack of 12),180 ml,960.00,825,In stock,Fresh Food,Carrefour
Olper'S Full Cream Milk 250 ml (Pack of 28),250 ml,"1,820.00","1,688",In stock,Fresh Food,Carrefour
Nurpur Original Uht Milk 1500 ml (Pack of 8),1500 ml,"2,800.00","2,483",In stock,Fresh Food,Carrefour
Nurpur Full Cream Milk 125 ml (Pack of 24),125 ml,792.00,745,In stock,Fresh Food,Carrefour
Nurpur Original Full Cream UHT Milk 250 ml (Pack of 27),250 ml,"1,755.00","1,556",In stock,Fresh Food,Carrefour
Haleeb Premium All Purpose Milk 250 ml (Pack of 27),250 ml,"1,620.00","1,428",In stock,Fresh Food,Carrefour
Olpers Flavoured Milk 180 ml (Pack of 24),180 ml,"1,680.00","1,560",In stock,Fresh Food,Carrefour
Haleeb Premium All Purpose Milk 1 lt (Pack of 12),1 lt,"2,880.00","2,651",In stock,Fresh Food,Carrefour
Dairy Omung 225 ml (Pack of 27),225 ml,"1,161.00","1,077",In stock,Fresh Food,Carrefour
Dairy Omung Milk 1 lt (Pack of 12),1 lt,"2,040.00","1,864",In stock,Fresh Food,Carrefour
Olper's Strawberry Flavoured Milk 180 ml (Pack of 24),180 ml,"1,680.00","1,560",In stock,Fresh Food,Carrefour
Nestle Nesvita 200 ml (Pack of 24),200 ml,"1,560.00","1,447",In stock,Fresh Food,Carrefour
Olper's Badam Zafran Flavoured Milk 180 ml (Pack of 24),180 ml,"1,680.00","1,560",In stock,Fresh Food,Carrefour
Nestle UHT Cream 200 ml (Pack of 24),200 ml,"4,560","4,560",In stock,Fresh Food,Carrefour
Olpers UHT Cream 200 ml (Pack of 24),200 ml,"4,560","4,560",In stock,Fresh Food,Carrefour
