Title,Quantity,Actual Price in Rs,Discounted Price in Rs,Stock,Category,Store
Fresh Garlic (China) 250g,250 g,95,,In stock,Fresh > Fruits & vegetables > Basic,Imtiaz
Fresh Green Chillies (Sindh) 250g,250 g,19,,In stock,Fresh > Fruits & vegetables > Basic,Imtiaz
Fresh Garlic (Desi) 250g,250 g,59,,In stock,Fresh > Fruits & vegetables > Basic,Imtiaz
Fresh Onions 500g,500 g,35,,In stock,Fresh > Fruits & vegetables > Basic,Imtiaz
Fresh Tomatoes 500g,500 g,39,,In stock,Fresh > Fruits & vegetables > Basic,Imtiaz
Fresh Cucumber (Desi) 500g,500 g,39,,In stock,Fresh > Fruits & vegetables > Basic,Imtiaz
Fresh Ginger 250g,250 g,165,,In stock,Fresh > Fruits & vegetables > Basic,Imtiaz
Potato White,,79,,In stock,Fresh > Fruits & vegetables > Basic,Imtiaz
Fresh Bananas (A-Grade) 500g,500 g,149,,In stock,Fresh > Fruits & vegetables > Fresh Fruits,Imtiaz
Fresh Capsicum (Shimla Mirch) 250g,250 g,65,,In stock,Fresh > Fruits & vegetables > Fresh Vegetables,Imtiaz
Fresh Cauliflower 500g,500 g,39,,In stock,Fresh > Fruits & vegetables > Fresh Vegetables,Imtiaz
Fresh Cabbage 500g,500 g,35,,In stock,Fresh > Fruits & vegetables > Fresh Vegetables,Imtiaz
Fresh Carrot (Orange) 500g,500 g,49,,In stock,Fresh > Fruits & vegetables > Fresh Vegetables,Imtiaz
Mutton Whole (Mix)  500g,500 g,839,,In stock,Fresh > Meat & Poultry > Meat,Imtiaz
Veal Whole Mix  500g,500 g,424,,In stock,Fresh > Meat & Poultry > Meat,Imtiaz
Veal Boneless  500g,500 g,549,,In stock,Fresh > Meat & Poultry > Meat,Imtiaz
Beef Boneless Boti  500g,500 g,489,,In stock,Fresh > Meat & Poultry > Meat,Imtiaz
Mutton Whole (Mix)  1kg,1 kg,"1,679",,In stock,Fresh > Meat & Poultry > Meat,Imtiaz
Veal Whole Mix  1kg,1 kg,849,,In stock,Fresh > Meat & Poultry > Meat,Imtiaz
Veal Boneless  1kg,1 kg,"1,099",,In stock,Fresh > Meat & Poultry > Meat,Imtiaz
Beef Boneless Boti  1kg,1 kg,969,,In stock,Fresh > Meat & Poultry > Meat,Imtiaz
Mutton Whole (Mix)  2kg,2 kg,"3,349",,In stock,Fresh > Meat & Poultry > Meat,Imtiaz
Veal Whole Mix  2kg,2 kg,"1,689",,In stock,Fresh > Meat & Poultry > Meat,Imtiaz
Veal Boneless  2kg,2 kg,"2,189",,In stock,Fresh > Meat & Poultry > Meat,Imtiaz
Beef Boneless Boti  2kg,2 kg,"1,929",,In stock,Fresh > Meat & Poultry > Meat,Imtiaz
Chicken Boti Cut  500g,500 g,382.67,,In stock,Fresh > Meat & Poultry > Poultry,Imtiaz
Chicken Boneless  500g,500 g,606.99,,In stock,Fresh > Meat & Poultry > Poultry,Imtiaz
Chicken Boti Cut  1kg,1 kg,765.33,,In stock,Fresh > Meat & Poultry > Poultry,Imtiaz
Chicken Boneless  1kg,1 kg,"1,213.98",,In stock,Fresh > Meat & Poultry > Poultry,Imtiaz
Chicken Boti Cut  2kg,2 kg,"1,530.67",,In stock,Fresh > Meat & Poultry > Poultry,Imtiaz
Chicken Boneless  2kg,2 kg,"2,427.96",,In stock,Fresh > Meat & Poultry > Poultry,Imtiaz
LU Wheatable Sugar Free S/P 6's Box,,215,,In stock,Snacks & Confectionary > Biscuits & Wafers > Sugar & Gluten Free ,Imtiaz
LU Wheatable S/P 6's Box,,215,,In stock,Snacks & Confectionary > Biscuits & Wafers > Sugar & Gluten Free ,Imtiaz
LU Wheatable Sugar Free T/P 12's Box,,209,,In stock,Snacks & Confectionary > Biscuits & Wafers > Sugar & Gluten Free ,Imtiaz
LU Wheatable Sugar Free F/P,,80,,In stock,Snacks & Confectionary > Biscuits & Wafers > Sugar & Gluten Free ,Imtiaz
Innovative Digestive Biscuit H/R Rs20/- 6's Box,,105,,In stock,Snacks & Confectionary > Biscuits & Wafers > Sugar & Gluten Free ,Imtiaz
Lu Wheatable F/P,,81,,In stock,Snacks & Confectionary > Biscuits & Wafers > Sugar & Gluten Free ,Imtiaz
Maliban Real Bran Cracker 210G,210 G,419,,In stock,Snacks & Confectionary > Biscuits & Wafers > Sugar & Gluten Free ,Imtiaz
Maliban Real Bran Cracker 140G,140 G,295,,In stock,Snacks & Confectionary > Biscuits & Wafers > Sugar & Gluten Free ,Imtiaz
LU Wheatable T/P 12's Box,,160,,In stock,Snacks & Confectionary > Biscuits & Wafers > Sugar & Gluten Free ,Imtiaz
Innovative Crust Wafer Chocolate 15'S Box,,127,,In stock,Snacks & Confectionary > Biscuits & Wafers > Wafers,Imtiaz
Innovative Crust Wafer Orange 15'S Box Rs10,,127,,In stock,Snacks & Confectionary > Biscuits & Wafers > Wafers,Imtiaz
Innovative Crust Wafer Strawberry 15'S Box Rs.10,,127,,In stock,Snacks & Confectionary > Biscuits & Wafers > Wafers,Imtiaz
