Title,Quantity,Actual Price in Rs,Discounted Price in Rs,Stock,Category,Store
"Fresh Basket Mushroom Shiitake, 50g",50 g,250,,In stock,Fresh Products,Naheed
"Fresh Basket Sweet Potato, Imported, 1KG",1 KG,"3,500",,In stock,Fresh Products,Naheed
"Fresh Basket Lychee, Imported, 500g (Approx)",500 g,640,,In stock,Fresh Products,Naheed
"Fresh Basket White Button Mushrooms, Local, 250g",250 g,595,,In stock,Fresh Products,Naheed
"Fresh Basket Sliced Mushrooms, Local, 250g",250 g,600,,In stock,Fresh Products,Naheed
"Fresh Basket Mango Dasheri, 1KG",1 KG,300,,In stock,Fresh Products,Naheed
"Fresh Basket Hass Avocado, 1 Piece",1 Piece,"1,200",,In stock,Fresh Products,Naheed
"Fresh Basket Mango Langra, 1KG",1 KG,280,,In stock,Fresh Products,Naheed
"Fresh Basket Mango Saroli, 1KG",1 KG,280,,In stock,Fresh Products,Naheed
"Fresh Basket Fenugreek (Meethi) Leaves, Large",,140,,In stock,Fresh Products,Naheed
"Fresh Basket Ginger, 250g",250 g,200,,In stock,Fresh Products,Naheed
"Fresh Basket Taro Root (Arvi), 500g",500 g,150,,In stock,Fresh Products,Naheed
"Fresh Basket Fenugreek (Meethi) Leaves, Small",,10,,In stock,Fresh Products,Naheed
"Fresh Basket China Garlic, 250g",250 g,115,,In stock,Fresh Products,Naheed
"Fresh Basket Spinach (Palak), Leaves",,70,,In stock,Fresh Products,Naheed
Fresh Basket Salad Leaves,,140,,In stock,Fresh Products,Naheed
"Fresh Basket Baby Potato, 1 KG",1 KG,60,,In stock,Fresh Products,Naheed
"Fresh Basket Parsley Leaves, 30g",30 g,50,,In stock,Fresh Products,Naheed
"Fresh Basket Desi Garlic, 250g",250 g,90,,In stock,Fresh Products,Naheed
"Fresh Basket Baby Onion, 1 KG",1 KG,120,,In stock,Fresh Products,Naheed
"Fresh Basket China Carrot, 1 KG",1 KG,200,,In stock,Fresh Products,Naheed
"Fresh Basket Snow Peas, Imported, 100g, (Approx)",100 g,495,,In stock,Fresh Products,Naheed
"Fresh Basket Eureka Lemon, Imported 1 KG",1 KG,"3,200",,In stock,Fresh Products,Naheed
"Fresh Basket Rosemary Leaves, Imported",,310,,In stock,Fresh Products,Naheed
"Fresh Basket Malta, Egypt, 1 Piece",1 Piece,140,,In stock,Fresh Products,Naheed
"Fresh Basket Lime Leaves, Imported, 30g, (Approx)",30 g,250,,In stock,Fresh Products,Naheed
"Fresh Basket Thai Red Chilli, Imported, 125g (Approx)",125 g,860,,In stock,Fresh Products,Naheed
"Strawberry, Imported, 250g (Approx)",250 g,"2,350",,In stock,Fresh Products,Naheed
Mango Sindhri 4Kg Box (Special Assorted),4 Kg,"1,600",,In stock,Fresh Products,Naheed
Mango Sindhri 3Kg Box (Special Assorted),3 Kg,"1,175",,In stock,Fresh Products,Naheed
"Mango Anwar Ratol, 1 KG (Approx)",1 KG,380,,In stock,Fresh Products,Naheed
"Mango Sindhri, 1 KG (Approx)",1 KG,380,,In stock,Fresh Products,Naheed
"Cherry Local, 1-Pack",,350,,In stock,Fresh Products,Naheed
"Apricot (Khobani) Local, 500g (Approx)",500 g,240,,In stock,Fresh Products,Naheed
"Plum (Aloo Bukhara) Local, 500g (Approx)",500 g,260,,In stock,Fresh Products,Naheed
"Peach Local, 500g (Approx)",500 g,230,,In stock,Fresh Products,Naheed
Guar Bean 500gm (Approx),500 gm,130,,In stock,Fresh Products,Naheed
Falsa Local 250g (Approx),250 g,80,,In stock,Fresh Products,Naheed
Cherry Tomato Red Local 250g (Approx),250 g,350,,In stock,Fresh Products,Naheed
Meat Expert Beef Undercut 1 KG,1 KG,"3,450",,In stock,Fresh Products,Naheed
Meat Expert Chicken Mince 1 KG,1 KG,"1,400",,In stock,Fresh Products,Naheed
Meat Expert Mutton Mix 1 KG,1 KG,"2,080",,In stock,Fresh Products,Naheed
