Title,Quantity,Actual Price in Rs,Discounted Price in Rs,Stock,Category,Store
TAPAL FAMILY MIXTURE TEA 430G,430 G,780,777,In stock,Tea & coffee,QNE
Tapal Family Mixture  900 gm Pouch,900 gm,"1,600","1,550",In stock,Tea & coffee,QNE
Nestle Nescafe Classic 50g,50 g,550,524,In stock,Tea & coffee,QNE
Tapal Family Mixture  170 gm,170 gm,330,326,In stock,Tea & coffee,QNE
Tapal Danedar Tea 170 gm,170 gm,330,326,In stock,Tea & coffee,QNE
Tapal Danedar Tea 430 gm,430 gm,780,770,In stock,Tea & coffee,QNE
Tapal FAMILY MIXTURE TEA TAPAL 85GM,85 GM,170,168,In stock,Tea & coffee,QNE
Tapal Danedar Tea 350 gm,350 gm,650,641,In stock,Tea & coffee,QNE
Vital Tea Chamomile 30 Tea bags,30 Tea,175,165,In stock,Tea & coffee,QNE
Vital Tea Pouch 350 gm,350 gm,780,722,In stock,Tea & coffee,QNE
Tapal Danedar Tea 95 gm,95 gm,168,,In stock,Tea & coffee,QNE
Tapal Danedar Tea Jar 450 gm,450 gm,820,805,In stock,Tea & coffee,QNE
Lipton Yellow Label Black Tea 475 gm,475 gm,439,,In stock,Tea & coffee,QNE
Tapal Danedar Tea 900 gm,900 gm,"1,600","1,575",In stock,Tea & coffee,QNE
Brooke Bond Supreme Black Tea 475 gm,475 gm,769,759,In stock,Tea & coffee,QNE
Vital Tea  950 Gms,950 Gms,"1,120","1,110",In stock,Tea & coffee,QNE
TAPAL GREEN TEA BAGS LEMON 30s,30 s,130,119,In stock,Tea & coffee,QNE
Brooke Bond Supreme Black Tea Jar 450 gm,450 gm,717,707,In stock,Tea & coffee,QNE
Lipton Green Tea Bags - Lemon 25 Sachets,25 Sachets,129,119,In stock,Tea & coffee,QNE
Tapal Danedar Tea Bags 25s Tea Bags,25 s,134,124,In stock,Tea & coffee,QNE
Tapal Danedar Jar 450gm,450 gm,650,640,In stock,Tea & coffee,QNE
Lipton Yellow Label Tea Bag 50S 100Gm,50 S,660,650,In stock,Tea & coffee,QNE
Tapal Tezdum Tea Sachet,,10,8,In stock,Tea & coffee,QNE
